Product_ID,Model,Store,Category,Description,Quantity,Stock_Status,Outstanding_Order_Qty,store_id
221,980531,Belfast,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,2,IN_STOCK,0,1
221,980531,Blanch,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,3,IN_STOCK,0,2
221,980531,Cavan,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,3,IN_STOCK,0,3
221,980531,Dundrum,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,1,IN_STOCK,0,4
221,980531,Gorey,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,0,OUT_OF_STOCK,0,5
221,980531,Navan,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,2,IN_STOCK,0,6
221,980531,Sandyford,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,3,IN_STOCK,0,7
222,980532,Belfast,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,1,IN_STOCK,0,1
222,980532,Blanch,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,4,IN_STOCK,0,2
222,980532,Cavan,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,2,IN_STOCK,0,3
222,980532,Dundrum,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,4,IN_STOCK,0,4
222,980532,Gorey,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,0,OUT_OF_STOCK,0,5
222,980532,Navan,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,4,IN_STOCK,0,6
222,980532,Sandyford,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,2,IN_STOCK,0,7
223,980533,Belfast,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT BLACK MANUAL,2,IN_STOCK,0,1
223,980533,Blanch,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT BLACK MANUAL,4,IN_STOCK,0,2
223,980533,Cavan,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT BLACK MANUAL,2,IN_STOCK,0,3
223,980533,Dundrum,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT BLACK MANUAL,1,IN_STOCK,0,4
223,980533,Gorey,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT BLACK MANUAL,-2,CUSTOMER_ORDER_OUTSTANDING,2,5
223,980533,Navan,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT BLACK MANUAL,2,IN_STOCK,0,6
223,980533,Sandyford,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT BLACK MANUAL,2,IN_STOCK,0,7
224,980535,Belfast,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT SILVER,1,IN_STOCK,0,1
224,980535,Blanch,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT SILVER,4,IN_STOCK,0,2
224,980535,Cavan,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT SILVER,3,IN_STOCK,0,3
224,980535,Dundrum,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT SILVER,2,IN_STOCK,0,4
224,980535,Gorey,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT SILVER,4,IN_STOCK,0,5
224,980535,Navan,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT SILVER,2,IN_STOCK,0,6
224,980535,Sandyford,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT SILVER,2,IN_STOCK,0,7
225,980536,Belfast,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT BLACK,1,IN_STOCK,0,1
225,980536,Blanch,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT BLACK,4,IN_STOCK,0,2
225,980536,Cavan,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT BLACK,1,IN_STOCK,0,3
225,980536,Dundrum,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT BLACK,2,IN_STOCK,0,4
225,980536,Gorey,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT BLACK,4,IN_STOCK,0,5
225,980536,Navan,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT BLACK,2,IN_STOCK,0,6
225,980536,Sandyford,MICROWAVE OVENS,DIMPLEX 20 LITRE 800 WATT BLACK,2,IN_STOCK,0,7
226,980538,Belfast,MICROWAVE OVENS,DIMPLEX 23 LITRE 900 WATT SILVER,1,IN_STOCK,0,1
226,980538,Blanch,MICROWAVE OVENS,DIMPLEX 23 LITRE 900 WATT SILVER,0,OUT_OF_STOCK,0,2
226,980538,Cavan,MICROWAVE OVENS,DIMPLEX 23 LITRE 900 WATT SILVER,1,IN_STOCK,0,3
226,980538,Dundrum,MICROWAVE OVENS,DIMPLEX 23 LITRE 900 WATT SILVER,1,IN_STOCK,0,4
226,980538,Gorey,MICROWAVE OVENS,DIMPLEX 23 LITRE 900 WATT SILVER,0,OUT_OF_STOCK,0,5
226,980538,Navan,MICROWAVE OVENS,DIMPLEX 23 LITRE 900 WATT SILVER,2,IN_STOCK,0,6
226,980538,Sandyford,MICROWAVE OVENS,DIMPLEX 23 LITRE 900 WATT SILVER,1,IN_STOCK,0,7
227,980539,Belfast,MICROWAVE OVENS,Dimplex Black 23L 900 Watts Microwave,2,IN_STOCK,0,1
227,980539,Blanch,MICROWAVE OVENS,Dimplex Black 23L 900 Watts Microwave,2,IN_STOCK,0,2
227,980539,Cavan,MICROWAVE OVENS,Dimplex Black 23L 900 Watts Microwave,2,IN_STOCK,0,3
227,980539,Dundrum,MICROWAVE OVENS,Dimplex Black 23L 900 Watts Microwave,1,IN_STOCK,0,4
227,980539,Gorey,MICROWAVE OVENS,Dimplex Black 23L 900 Watts Microwave,0,OUT_OF_STOCK,0,5
227,980539,Navan,MICROWAVE OVENS,Dimplex Black 23L 900 Watts Microwave,0,OUT_OF_STOCK,0,6
227,980539,Sandyford,MICROWAVE OVENS,Dimplex Black 23L 900 Watts Microwave,2,IN_STOCK,0,7
